id,kode,nama,level_id,parent_id
1,"32.00","PROVINSI JAWA BARAT",2,
2,"32.01","KABUPATEN BOGOR",2,1
3,"32.02","KABUPATEN SUKABUMI",2,1
4,"32.03","KABUPATEN CIANJUR",2,1
5,"32.04","KABUPATEN BANDUNG",2,1
6,"32.05","KABUPATEN GARUT",2,1
7,"32.06","KABUPATEN TASIKMALAYA",2,1
8,"32.07","KABUPATEN CIAMIS",2,1
9,"32.08","KABUPATEN KUNINGAN",2,1
10,"32.09","KABUPATEN CIREBON",2,1
11,"32.10","KABUPATEN MAJALENGKA",2,1
12,"32.11","KABUPATEN SUMEDANG",2,1
13,"32.12","KABUPATEN INDRAMAYU",2,1
14,"32.13","KABUPATEN SUBANG",2,1
15,"32.14","KABUPATEN PURWAKARTA",2,1
16,"32.15","KABUPATEN KARAWANG",2,1
17,"32.16","KABUPATEN BEKASI",2,1
18,"32.17","KABUPATEN BANDUNG BARAT",2,1
19,"32.18","KABUPATEN PANGANDARAN",2,1
20,"32.71","KOTA BOGOR",2,1
21,"32.72","KOTA SUKABUMI",2,1
22,"32.73","KOTA BANDUNG",2,1
23,"32.74","KOTA CIREBON",2,1
24,"32.75","KOTA BEKASI",2,1
25,"32.76","KOTA DEPOK",2,1
26,"32.77","KOTA CIMAHI",2,1
27,"32.78","KOTA TASIKMALAYA",2,1
28,"32.79","KOTA BANJAR",2,1
